frame_id,handedness,finger,depth_mm,dist_to_surface_mm
152,Right,thumb,218.5,43.66
152,Right,index,239.7,22.46
152,Right,middle,254.5,7.66
152,Right,ring,237.2,24.96
152,Right,pinky,239.8,22.36
158,Right,thumb,276.8,-14.64
158,Right,index,279.2,-17.04
158,Right,middle,269.7,-7.54
158,Right,ring,242.7,19.46
158,Right,pinky,243.3,18.86
158,Left,thumb,272.4,-10.24
158,Left,index,247.4,14.76
158,Left,middle,290.2,-28.04
158,Left,ring,261.3,0.86
158,Left,pinky,252.9,9.26
174,Left,thumb,267.0,-4.84
174,Left,index,235.6,26.56
174,Left,middle,282.8,-20.64
174,Left,ring,244.1,18.06
174,Left,pinky,248.7,13.46
178,Left,thumb,226.0,36.16
178,Left,index,231.8,30.36
178,Left,middle,256.0,6.16
178,Left,ring,240.7,21.46
178,Left,pinky,249.7,12.46
178,Right,thumb,240.2,21.96
178,Right,index,250.7,11.46
178,Right,middle,274.5,-12.34
178,Right,ring,244.3,17.86
178,Right,pinky,241.6,20.56
187,Right,thumb,251.0,11.16
187,Right,index,279.0,-16.84
187,Right,middle,258.5,3.66
187,Right,ring,245.7,16.46
187,Right,pinky,250.9,11.26
192,Right,thumb,280.9,-18.74
192,Right,index,281.9,-19.74
192,Right,middle,274.6,-12.44
192,Right,ring,244.7,17.46
192,Right,pinky,245.6,16.56
192,Left,thumb,270.8,-8.64
192,Left,index,250.3,11.86
192,Left,middle,271.3,-9.14
192,Left,ring,252.7,9.46
192,Left,pinky,255.1,7.06
197,Right,thumb,244.6,17.56
197,Right,index,256.5,5.66
197,Right,middle,238.1,24.06
197,Right,ring,242.8,19.36
197,Right,pinky,247.9,14.26
198,Left,thumb,229.1,33.06
198,Left,index,262.4,-0.24
198,Left,middle,255.5,6.66
198,Left,ring,241.2,20.96
198,Left,pinky,247.1,15.06
200,Left,thumb,241.3,20.86
200,Left,index,236.4,25.76
200,Left,middle,215.1,47.06
200,Left,ring,214.1,48.06
200,Left,pinky,234.2,27.96
201,Right,thumb,252.7,9.46
201,Right,index,299.8,-37.64
201,Right,middle,245.6,16.56
201,Right,ring,235.5,26.66
201,Right,pinky,239.2,22.96
211,Left,thumb,270.9,-8.74
211,Left,index,259.6,2.56
211,Left,middle,312.9,-50.74
211,Left,ring,254.1,8.06
211,Left,pinky,256.0,6.16
211,Right,thumb,274.6,-12.44
211,Right,index,270.0,-7.84
211,Right,middle,251.1,11.06
211,Right,ring,243.0,19.16
211,Right,pinky,240.7,21.46
213,Left,thumb,266.9,-4.74
213,Left,index,259.2,2.96
213,Left,middle,275.7,-13.54
213,Left,ring,249.9,12.26
213,Left,pinky,256.5,5.66
216,Right,thumb,273.2,-11.04
216,Right,index,262.6,-0.44
216,Right,middle,263.6,-1.44
216,Right,ring,306.0,-43.84
216,Right,pinky,253.0,9.16
220,Right,thumb,274.8,-12.64
220,Right,index,274.9,-12.74
220,Right,middle,266.4,-4.24
220,Right,ring,243.6,18.56
220,Right,pinky,244.8,17.36
220,Left,thumb,273.3,-11.14
220,Left,index,258.0,4.16
220,Left,middle,262.6,-0.44
220,Left,ring,255.4,6.76
220,Left,pinky,253.0,9.16
223,Right,thumb,302.0,-39.84
223,Right,index,281.0,-18.84
223,Right,middle,310.5,-48.34
223,Right,ring,246.6,15.56
223,Right,pinky,244.4,17.76
223,Left,thumb,253.2,8.96
223,Left,index,230.8,31.36
223,Left,middle,266.7,-4.54
223,Left,ring,237.4,24.76
223,Left,pinky,254.3,7.86
226,Left,thumb,301.2,-39.04
226,Left,index,220.8,41.36
226,Left,middle,319.3,-57.14
226,Left,ring,242.2,19.96
226,Left,pinky,249.2,12.96
232,Left,thumb,256.9,5.26
232,Left,index,250.4,11.76
232,Left,middle,228.3,33.86
232,Left,ring,220.3,41.86
232,Left,pinky,217.6,44.56
244,Left,thumb,268.8,-6.64
244,Left,index,234.3,27.86
244,Left,middle,282.8,-20.64
244,Left,ring,244.3,17.86
244,Left,pinky,248.3,13.86
248,Left,thumb,267.2,-5.04
248,Left,index,246.6,15.56
248,Left,middle,242.0,20.16
248,Left,ring,249.9,12.26
248,Left,pinky,259.9,2.26
251,Left,thumb,268.1,-5.94
251,Left,index,225.7,36.46
251,Left,middle,280.1,-17.94
251,Left,ring,239.8,22.36
251,Left,pinky,230.7,31.46
255,Left,thumb,281.3,-19.14
255,Left,index,220.7,41.46
255,Left,middle,217.6,44.56
255,Left,ring,214.3,47.86
255,Left,pinky,208.5,53.66
256,Left,thumb,265.3,-3.14
256,Left,index,241.7,20.46
256,Left,middle,265.0,-2.84
256,Left,ring,241.7,20.46
256,Left,pinky,244.6,17.56
257,Left,thumb,260.7,1.46
257,Left,index,230.0,32.16
257,Left,middle,240.5,21.66
257,Left,ring,252.1,10.06
257,Left,pinky,249.9,12.26
258,Left,thumb,265.0,-2.84
258,Left,index,240.2,21.96
258,Left,middle,274.1,-11.94
258,Left,ring,244.9,17.26
258,Left,pinky,233.4,28.76
259,Left,thumb,263.1,-0.94
259,Left,index,227.1,35.06
259,Left,middle,225.4,36.76
259,Left,ring,276.0,-13.84
259,Left,pinky,277.5,-15.34
260,Left,thumb,266.9,-4.74
260,Left,index,228.9,33.26
260,Left,middle,284.3,-22.14
260,Left,ring,251.0,11.16
260,Left,pinky,243.1,19.06
261,Left,thumb,257.4,4.76
261,Left,index,244.5,17.66
261,Left,middle,221.1,41.06
261,Left,ring,219.4,42.76
261,Left,pinky,283.3,-21.14
262,Left,thumb,258.9,3.26
262,Left,index,218.0,44.16
262,Left,middle,267.2,-5.04
262,Left,ring,287.4,-25.24
262,Left,pinky,255.5,6.66
