depth_mm,velocity,label
-16.52391839364392,23.2184721098384,0
26.433708471878205,3.8307087292880544,0
-15.802002232918221,2.024767798348849,0
25.582453329530964,6.441873460530856,0
-13.448009227124913,15.078588990462212,0
26.343185421623005,2.0659920537565863,0
-12.596907874516617,10.563747954796488,0
27.241237972224273,4.391963285284508,0
5.569604953012897,93.55273454647649,0
29.48109815161859,4.2729444744999165,0
13.762812664019519,40.106594139306374,0
30.377137334402782,1.5951796423884985,0
24.206814547543477,47.51123122298178,0
29.663970627827553,1.5548919763978568,0
29.679944608004384,1.9696680034528968,0
29.342300724478356,0.5647040283768044,0
23.58147684286066,58.37429255596895,0
33.04097213739671,0.5735537744691023,0
20.838386255903618,20.955816210564777,1
34.714344907350096,0.20590035370680962,0
17.454109647928597,39.01611161065731,0
35.012782796835616,0.27179816471405166,0
15.59074397154092,5.735515972706467,0
34.95679197864593,5.3236037002077445,0
12.135553453346438,5.501423159574528,0
35.83865019187482,3.52824061914967,0
10.26947390324512,1.9603621835480407,0
36.29816968058414,1.2572436774295177,0
9.64573741508895,10.685634072650073,0
34.290833556530124,16.10530522573786,0
9.190513028103197,3.7527926383709582,0
34.060812950534036,0.5684905395214388,0
4.858661729430224,13.39970157830034,0
32.51910160121652,0.5768214466834694,0
3.515792458722633,0.33966305424563453,0
32.28664304048273,10.155972388325658,0
5.589132080360992,0.34191186762649284,0
34.07757407790568,1.5290027574151823,0
33.651774711454145,15.856076657929695,0
19.764254831080187,35.02821864523827,0
45.40283562309938,15.85766921493551,0
26.8016972658896,13.519028423008235,0
51.58879889868251,73.81016589649053,0
42.631847818172474,3.6860899337133475,0
52.63732472235377,69.61980861505289,0
50.13159443586035,3.7716100286679857,0
22.69361933601216,124.27048157589115,0
52.618802550471635,12.245040296068158,0
33.72062557539884,242.16539852253666,0
53.91833892875697,9.562576278575845,0
33.51534950567603,133.80389633716746,0
57.031455884608285,9.92665810716362,0
38.43195761020396,165.53809848136427,0
58.619386867829974,6.84022655944541,0
39.97342602359427,78.13992810307757,0
51.508121817075256,1.7561267248970773,0
35.94191908102978,113.73856510417502,0
48.33056330715068,4.506701653145757,0
34.577153096427004,66.00284466657493,0
42.507503105662366,13.134668745597846,0
30.06880508663673,100.80262386594435,0
39.88845051883,4.727550085382146,0
28.513125526921037,72.39856361306802,0
40.09434402438561,4.650027931012998,0
21.579314365777922,96.586032643146,0
40.22927730174558,6.968130222700962,0
18.285353741398225,67.3387607750969,1
42.5733550497559,13.667414268892482,0
15.857337534960603,76.30141969912903,0
43.61869153073572,1.2635214677375268,0
14.974961103040918,40.915768086311026,0
44.67533967657589,19.133131863320795,0
11.76052910634856,56.64174141460129,0
44.725494582658456,1.5623450460550163,0
9.719274645176801,14.822690410236719,0
40.539341509693124,1.5497082903930492,0
10.195172832304367,14.702799661746983,0
38.91968515019434,4.843910437207997,0
10.676023889048093,8.855482160786192,0
37.69040308251359,5.781585810341863,0
12.495639296650761,10.569710292589082,0
